history,loss,accuracy,val_loss,val_accuracy
1,0.6025595664978027,0.792163610458374,0.4759954512119293,0.8223999738693237
2,0.43405649065971375,0.8470727205276489,0.413112074136734,0.8551999926567078
3,0.3937495946884155,0.8614000082015991,0.4001327455043793,0.8539999723434448
4,0.3719290792942047,0.8658363819122314,0.36528727412223816,0.8687999844551086
5,0.35625529289245605,0.8724908828735352,0.3614962697029114,0.8705999851226807
6,0.3394639790058136,0.8772545456886292,0.3573935627937317,0.871999979019165
7,0.3290860056877136,0.8790000081062317,0.3445338308811188,0.8748000264167786
8,0.3193511366844177,0.8829636573791504,0.35087013244628906,0.878600001335144
9,0.31309545040130615,0.885272741317749,0.34053727984428406,0.8812000155448914
10,0.3050438463687897,0.8888545632362366,0.34506502747535706,0.8822000026702881
